"Plant_Species","unique_emf_taxa","total_records"
"Pseudotsuga_menziesii",266,373
"Pinus_albicaulis",126,324
"Picea_engelmannii",123,149
"Tsuga_heterophylla",87,768
"Pinus_contorta",86,248
"Salix_arctica",63,131
"Dryas_integrifolia",58,105
"Pinus_banksiana",58,120
"Populus_sp",53,155
"Picea_glauca",33,37
"Picea_mariana",28,51
"Populus_tremuloides",23,26
"Populus_alba",20,21
"Quercus_garryana",5,21
"Betula_papyrifera",3,3
"Pterospora_andromedea",1,40
