"Plant_Species","unique_emf_taxa","total_records"
"Pseudotsuga_menziesii",53,381
"Pinus_albicaulis",37,325
"Picea_engelmannii",34,149
"Populus_tremuloides",28,91
"Pinus_banksiana",25,123
"Pinus_contorta",24,258
"Populus_sp",23,190
"Picea_glauca",19,42
"Tsuga_heterophylla",19,786
"Picea_mariana",15,54
"Salix_arctica",15,135
"Populus_alba",13,23
"Dryas_integrifolia",10,105
"Quercus_garryana",6,37
"Betula_papyrifera",3,3
"Pterospora_andromedea",1,40
