"Plant_Species","unique_emf_taxa","total_records"
"Picea_engelmannii",97,134
"Pseudotsuga_menziesii",33,45
"Salix_arctica",22,38
"Tsuga_heterophylla",19,68
"Dryas_integrifolia",18,30
"Populus_sp",16,54
"Pinus_contorta",14,25
"Picea_glauca",11,13
"Picea_mariana",9,23
"Pinus_banksiana",9,14
"Populus_alba",6,6
"Pinus_albicaulis",5,11
"Populus_tremuloides",4,4
"Quercus_garryana",2,16
"Betula_papyrifera",1,1
